Lon,Lat,LMZ,Stat_Area,EEZ,LMZ_MA,Depth,Distant_Offshore
-73.65,38.2,NA,622,EEZ Offshore Management Area 3,0,-540,1.388993791
-73.6,38.2,NA,622,EEZ Offshore Management Area 3,0,-1077,1.416999313
-73.55,38.2,NA,622,EEZ Offshore Management Area 3,0,-1316,1.446191672
-73.5,38.2,NA,622,EEZ Offshore Management Area 3,0,-1330,1.476500475
-73.45,38.2,NA,622,EEZ Offshore Management Area 3,0,-1501,1.507858399
-73.4,38.2,NA,622,EEZ Offshore Management Area 3,0,-1735,1.540201368
-73.35,38.2,NA,622,EEZ Offshore Management Area 3,0,-1822,1.573468637
-73.3,38.2,NA,622,EEZ Offshore Management Area 3,0,-1749,1.607031525
-73.25,38.2,NA,622,EEZ Offshore Management Area 3,0,-1868,1.640671546
-73.2,38.2,NA,622,EEZ Offshore Management Area 3,0,-2046,1.675128629
-74.95,38.25,NA,621,EEZ Nearshore Management Area 5,0,-15,0.156029845
-74.9,38.25,NA,621,EEZ Nearshore Management Area 5,0,-19,0.20147841
-74.85,38.25,NA,621,EEZ Nearshore Management Area 5,0,-21,0.247886829
-74.8,38.25,NA,621,EEZ Nearshore Management Area 5,0,-24,0.294295248
-74.75,38.25,NA,621,EEZ Nearshore Management Area 5,0,-23,0.340703666
-74.7,38.25,NA,621,EEZ Nearshore Management Area 5,0,-30,0.387112085
-74.65,38.25,NA,621,EEZ Nearshore Management Area 5,0,-30,0.433522905
-74.6,38.25,NA,621,EEZ Nearshore Management Area 5,0,-41,0.480347592
-74.55,38.25,NA,621,EEZ Nearshore Management Area 5,0,-39,0.52775516
-74.5,38.25,NA,621,EEZ Nearshore Management Area 5,0,-40,0.575601606
-74.45,38.25,NA,621,EEZ Nearshore Management Area 5,0,-40,0.623785948
-74.4,38.25,NA,621,EEZ Nearshore Management Area 5,0,-39,0.672235531
-74.35,38.25,NA,621,EEZ Nearshore Management Area 5,0,-45,0.720896878
-74.3,38.25,NA,621,EEZ Nearshore Management Area 5,0,-49,0.769729829
-74.25,38.25,NA,621,EEZ Nearshore Management Area 5,0,-49,0.818703676
-74.2,38.25,NA,621,EEZ Nearshore Management Area 5,0,-60,0.867794566
-74.15,38.25,NA,621,EEZ Nearshore Management Area 5,0,-65,0.916983701
-74.1,38.25,NA,621,EEZ Nearshore Management Area 5,0,-61,0.966256078
-74.05,38.25,NA,621,EEZ Nearshore Management Area 5,0,-68,1.015599581
-74,38.25,NA,622,EEZ Nearshore Management Area 5,0,-70,1.065004323
-73.95,38.25,NA,622,EEZ Nearshore Management Area 5,0,-67,1.114462162
-73.9,38.25,NA,622,EEZ Nearshore Management Area 5,0,-74,1.160931209
-73.85,38.25,NA,622,EEZ Offshore Management Area 3,0,-121,1.19950226
-73.8,38.25,NA,622,EEZ Offshore Management Area 3,0,-109,1.238890661
-73.75,38.25,NA,622,EEZ Offshore Management Area 3,0,-115,1.279020903
-73.7,38.25,NA,622,EEZ Offshore Management Area 3,0,-127,1.319183089
-73.65,38.25,NA,622,EEZ Offshore Management Area 3,0,-260,1.347440333
-73.6,38.25,NA,622,EEZ Offshore Management Area 3,0,-566,1.376291667
-73.55,38.25,NA,622,EEZ Offshore Management Area 3,0,-1131,1.406329283
-73.5,38.25,NA,622,EEZ Offshore Management Area 3,0,-1385,1.437478818
-73.45,38.25,NA,622,EEZ Offshore Management Area 3,0,-1285,1.469669573
-73.4,38.25,NA,622,EEZ Offshore Management Area 3,0,-1500,1.502834639
-73.35,38.25,NA,622,EEZ Offshore Management Area 3,0,-1868,1.536448933
-73.3,38.25,NA,622,EEZ Offshore Management Area 3,0,-1932,1.570008957
-73.25,38.25,NA,622,EEZ Offshore Management Area 3,0,-2062,1.604425419
-73.2,38.25,NA,622,EEZ Offshore Management Area 3,0,-2134,1.639644389
-73.15,38.25,NA,622,EEZ Offshore Management Area 3,0,-2265,1.675615267
-74.95,38.3,NA,621,EEZ Nearshore Management Area 5,0,-19,0.136461964
-74.9,38.3,NA,621,EEZ Nearshore Management Area 5,0,-16,0.182870383
-74.85,38.3,NA,621,EEZ Nearshore Management Area 5,0,-24,0.229278802
-74.8,38.3,NA,621,EEZ Nearshore Management Area 5,0,-21,0.275687221
-74.75,38.3,NA,621,EEZ Nearshore Management Area 5,0,-23,0.322271173
-74.7,38.3,NA,621,EEZ Nearshore Management Area 5,0,-26,0.369662561
-74.65,38.3,NA,621,EEZ Nearshore Management Area 5,0,-34,0.417662674
-74.6,38.3,NA,621,EEZ Nearshore Management Area 5,0,-35,0.466083478
-74.55,38.3,NA,621,EEZ Nearshore Management Area 5,0,-40,0.514806283
-74.5,38.3,NA,621,EEZ Nearshore Management Area 5,0,-35,0.56375279
-74.45,38.3,NA,621,EEZ Nearshore Management Area 5,0,-37,0.612869406
-74.4,38.3,NA,621,EEZ Nearshore Management Area 5,0,-40,0.662118274
-74.35,38.3,NA,621,EEZ Nearshore Management Area 5,0,-44,0.711471932
-74.3,38.3,NA,621,EEZ Nearshore Management Area 5,0,-50,0.760909988
